Speaker,Text,Tag
SPEAKER_00,"Okay, right.",BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,"Okay, it's a kitchen.",STATEMENT
SPEAKER_01,Yes.,YES ANSWERS
SPEAKER_00,And looks as though the person is being tested on what he's making.,STATEMENT
SPEAKER_01,Ah okay...,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,Looks like he's being filmed.,STATEMENT
SPEAKER_00,The camera is on.,STATEMENT
SPEAKER_00,The chap puts the camera on and walks away and leaves him to do what he has to do.,STATEMENT
SPEAKER_01,"Okay, So my shot was actually from the guy who was cooking's perspective.",STATEMENT
SPEAKER_01,So he must have had like a GoPro on his head or on his chest or something.,STATEMENT
SPEAKER_01,So it was all like a fisheye lens.,STATEMENT
SPEAKER_00,ooh right,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,all right from his perspective so like a gopro type thing i was actually seeing him do the cooking but i could see the cameras in the background on the table but i didn't really see the guy so it just looked like it was someone cooking and being filmed but if you think it's someone,SUMMARIZE/REFORMULATE
SPEAKER_00,"Ahh okay, He definitely had something on his eyes yeah and i wasn't sure if that was glasses protective glasses ",BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,yeah no must have been a camera,AGREEMENT/ACCEPT
SPEAKER_00, that's what it is then right yes so he washes all his veg cuts them all up gets his knife and makes them into what looks like washes them ,BACKCHANNEL-QUESTION
SPEAKER_01,and then puts them into a dish puts them into a bowl makes a wee salad thing ,STATEMENT
SPEAKER_00,that's right,AGREEMENT/ACCEPT
SPEAKER_00,And the chap who is keeping an eye on him or started the filming comes back and he's shaking his head or is not 100% happy with what he's done.,STATEMENT
SPEAKER_01,I think he put his thumb up at the end.,STATEMENT
SPEAKER_00,"Right, I didn't see that.",STATEMENT
SPEAKER_00,He may well have.,AFFIRMATIVE NON-YES ANSWERS
SPEAKER_00,I did not see him put his thumb up.,STATEMENT
SPEAKER_01,"From my perspective, it was him doing the cutting here and there was a camera there and a camera on the other side of the table pointing at him.",STATEMENT
SPEAKER_01,But the guy was behind the camera.,STATEMENT
SPEAKER_00,ah okay,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,so did you see him because at the end he did kind of just put a wee thumb up because the guy was finished and he was happy with his ,YES-NO-QUESTION
SPEAKER_00,right I didn't see the thumb up I did see him shake his head as in not being 100% happy with what he had done ,STATEMENT
SPEAKER_01,he did leave some onions on the cutting board though ,STATEMENT
SPEAKER_00,he did,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01," I thought is he going to put them in the bowl but he didn't put them in the bowl, I don't know if he put some of them in the bowl.",STATEMENT
SPEAKER_00,I think he did.,YES ANSWERS
SPEAKER_00,Okay.,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,I think so.,YES ANSWERS
SPEAKER_00,But he put carrot and he put...,STATEMENT
SPEAKER_00,"what looked like onion, spring onion, either spring onion or celery.",STATEMENT
SPEAKER_00,I wasn't actually sure what it was.,STATEMENT
SPEAKER_01,And coriander at the end?,YES-NO-QUESTION
SPEAKER_00,Coriander at the end.,REPEAT-PHRASE
SPEAKER_01,Is that the last thing?,YES-NO-QUESTION
SPEAKER_00,Yeah.,YES ANSWERS
SPEAKER_01,It was like a garnish?,DECLARATIVE YES-NO-QUESTION
SPEAKER_00,That's right.,AGREEMENT/ACCEPT
SPEAKER_00,"And he used mayo, looked like, because he gave, or some kind of sauce, because it was a bottle that was yellow.",STATEMENT
SPEAKER_00,"Could have been mayo, could have been anything.",HEDGE
SPEAKER_01,"Yeah, yeah.",BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,"I think, or salad dressing maybe.",OTHER
SPEAKER_00,Could have been salad dressing.,STATEMENT
SPEAKER_01,Because it did look like it had...,STATEMENT
SPEAKER_01,that sort of like black dots and stuff in it i don't know like you know ,HEDGE
SPEAKER_00,Oh okay like herbs in it?,BACKCHANNEL-QUESTION
SPEAKER_01,yeah exactly yeah yeah so it's quite a fancy looking kitchen ,AGREEMENT/ACCEPT
SPEAKER_00,Yes it is,AGREEMENT/ACCEPT
SPEAKER_01,and i guess if he's being filmed the idea that he's being tested makes sense ,STATEMENT
SPEAKER_00,a test of some sort yeah ,AGREEMENT/ACCEPT
SPEAKER_01,because i didn't see that i didn't see the guy but that makes complete sense ,STATEMENT
SPEAKER_01,that's what it looked like based on the kitchen yeah ,STATEMENT
SPEAKER_00,yeah if not it wasn't a test it was a video on how to make or,COLLABORATIVE COMPLETION
SPEAKER_01,"Yeah, okay, yeah.",BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,Prepare whatever it was he was preparing.,STATEMENT
SPEAKER_01,"Yeah, yeah.",BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,"Making like a wee tutorial or even just like a wee recipe video, something like that.",SUMMARIZE/REFORMULATE
SPEAKER_00,"Tutorial, I reckon.",STATEMENT
SPEAKER_01,Okay.,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,"Right, I think that could be possible.",OPINION
SPEAKER_01,"Yeah, because he looked pretty good at what he was doing.",STATEMENT
SPEAKER_00,"Yeah, he did.",AGREEMENT/ACCEPT
SPEAKER_00,He knew what he was doing.,STATEMENT
